URL	Description	CVSS	Prompt
https://nvd.nist.gov/vuln/detail/CVE-2024-29004	The SolarWinds Platform was determined to be affected by a stored cross-site scripting vulnerability affecting the web console. A high-privileged user and user interaction is required to exploit this vulnerability.	CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: The SolarWinds Platform was determined to be affected by a stored cross-site scripting vulnerability affecting the web console. A high-privileged user and user interaction is required to exploit this vulnerability.
https://nvd.nist.gov/vuln/detail/CVE-2024-29152	An issue was discovered in Samsung Mobile Processor, Wearable Processor, and Modem Exynos 980, Exynos 990, Exynos 1080, Exynos 2100, Exynos 2200, Exynos 1280, Exynos 1380, Exynos 1330, Exynos 2400, Exynos Modem 5123, and Exynos Modem 5300. The baseband software does not properly check states specified by the RRC (Radio Resource Control) Reconfiguration message. This can lead to disclosure of sensitive information.	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: An issue was discovered in Samsung Mobile Processor, Wearable Processor, and Modem Exynos 980, Exynos 990, Exynos 1080, Exynos 2100, Exynos 2200, Exynos 1280, Exynos 1380, Exynos 1330, Exynos 2400, Exynos Modem 5123, and Exynos Modem 5300. The baseband software does not properly check states specified by the RRC (Radio Resource Control) Reconfiguration message. This can lead to disclosure of sensitive information.
https://nvd.nist.gov/vuln/detail/CVE-2024-29168	Dell SCG, versions prior to 5.22.00.00, contain a SQL Injection Vulnerability in the SCG UI for an internal assets REST API. A remote authenticated attacker could potentially exploit this vulnerability, leading to the execution of certain SQL commands on the application's backend database causing potential unauthorized access and modification of application data.	CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Dell SCG, versions prior to 5.22.00.00, contain a SQL Injection Vulnerability in the SCG UI for an internal assets REST API. A remote authenticated attacker could potentially exploit this vulnerability, leading to the execution of certain SQL commands on the application's backend database causing potential unauthorized access and modification of application data.
https://nvd.nist.gov/vuln/detail/CVE-2024-29318	Volmarg Personal Management System 1.4.64 is vulnerable to stored cross site scripting (XSS) via upload of a SVG file with embedded javascript code.	CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Volmarg Personal Management System 1.4.64 is vulnerable to stored cross site scripting (XSS) via upload of a SVG file with embedded javascript code.
https://nvd.nist.gov/vuln/detail/CVE-2024-29319	Volmarg Personal Management System 1.4.64 is vulnerable to SSRF (Server Side Request Forgery) via uploading a SVG file. The server can make unintended HTTP and DNS requests to a server that the attacker controls.	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Volmarg Personal Management System 1.4.64 is vulnerable to SSRF (Server Side Request Forgery) via uploading a SVG file. The server can make unintended HTTP and DNS requests to a server that the attacker controls.
https://nvd.nist.gov/vuln/detail/CVE-2024-29471	OneBlog v2.3.4 was discovered to contain a stored cross-site scripting (XSS) vulnerability via the Notice Manage module.	CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: OneBlog v2.3.4 was discovered to contain a stored cross-site scripting (XSS) vulnerability via the Notice Manage module.
https://nvd.nist.gov/vuln/detail/CVE-2024-29472	OneBlog v2.3.4 was discovered to contain a stored cross-site scripting (XSS) vulnerability via the Privilege Management module.	CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: OneBlog v2.3.4 was discovered to contain a stored cross-site scripting (XSS) vulnerability via the Privilege Management module.
https://nvd.nist.gov/vuln/detail/CVE-2024-29506	Artifex Ghostscript before 10.03.0 has a stack-based buffer overflow in the pdfi_apply_filter() function via a long PDF filter name.	CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Artifex Ghostscript before 10.03.0 has a stack-based buffer overflow in the pdfi_apply_filter() function via a long PDF filter name.
https://nvd.nist.gov/vuln/detail/CVE-2024-29508	Artifex Ghostscript before 10.03.0 has a heap-based pointer disclosure (observable in a constructed BaseFont name) in the function pdf_base_font_alloc.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Artifex Ghostscript before 10.03.0 has a heap-based pointer disclosure (observable in a constructed BaseFont name) in the function pdf_base_font_alloc.
https://nvd.nist.gov/vuln/detail/CVE-2024-29509	Artifex Ghostscript before 10.03.0 has a heap-based overflow when PDFPassword (e.g., for runpdf) has a \000 byte in the middle.	CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Artifex Ghostscript before 10.03.0 has a heap-based overflow when PDFPassword (e.g., for runpdf) has a \000 byte in the middle.
https://nvd.nist.gov/vuln/detail/CVE-2024-29737	"In streampark, the project module integrates Maven's compilation capabilities. The input parameter validation is not strict, allowing attackers to insert commands for remote command execution, The prerequisite for a successful attack is that the user needs to log in to the streampark system and have system-level permissions. Generally, only users of that system have the authorization to log in, and users would not manually input a dangerous operation command. Therefore, the risk level of this vulnerability is very low. Mitigation: all users should upgrade to 2.1.4 Background info: Log in to Streampark using the default username (e.g. test1, test2, test3) and the default password (streampark). Navigate to the Project module, then add a new project. Enter the git repository address of the project and input `touch /tmp/success_2.1.2` as the ""Build Argument"". Note that there is no verification and interception of the special character ""`"". As a result, you will find that this injection command will be successfully executed after executing the build. In the latest version, the special symbol ` is intercepted."	CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:L	"Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: In streampark, the project module integrates Maven's compilation capabilities. The input parameter validation is not strict, allowing attackers to insert commands for remote command execution, The prerequisite for a successful attack is that the user needs to log in to the streampark system and have system-level permissions. Generally, only users of that system have the authorization to log in, and users would not manually input a dangerous operation command. Therefore, the risk level of this vulnerability is very low. Mitigation: all users should upgrade to 2.1.4 Background info: Log in to Streampark using the default username (e.g. test1, test2, test3) and the default password (streampark). Navigate to the Project module, then add a new project. Enter the git repository address of the project and input `touch /tmp/success_2.1.2` as the ""Build Argument"". Note that there is no verification and interception of the special character ""`"". As a result, you will find that this injection command will be successfully executed after executing the build. In the latest version, the special symbol ` is intercepted."
https://nvd.nist.gov/vuln/detail/CVE-2024-29745	there is a possible Information Disclosure due to uninitialized data. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.	CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the fnal CVSS v3.1 vector string. Valid options for each metric are as follows: - Attack Vector (AV): Network (N), Adjacent (A), Local (L), Physical (P) - Attack Complexity (AC): Low (L), High (H) - Privileges Required (PR): None (N), Low (L), High (H) - User Interaction (UI): None (N), Required (R) - Scope (S): Unchanged (U), Changed (C) - Confdentiality (C): None (N), Low (L), High (H) - Integrity (I): None (N), Low (L), High (H) - Availability (A): None (N), Low (L), High (H) Summarize each metric’s value and provide the fnal CVSS v3.1 vector string. Ensure the fnal line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: there is a possible Information Disclosure due to uninitialized data. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.
